gene_id	SRR8176748_ZW	SRR8176749_ZZ	SRR8176750_ZZ	SRR8176751_ZW	SRR8176752_ZZ	SRR8176755_ZW	SRR8176757_ZZ	SRR8176758_ZZ	SRR8176759_ZW	SRR8176760_ZW
abcd2	4	32	59	7	56	1	37	32	1	4
arfgap3	594	100	159	268	75	366	81	83	276	422
cct2	2153	1349	1331	871	1427	1036	1347	1132	996	1440
ckap4	13	175	81	3	75	5	67	82	6	6
fasn2	13	1	3	7	2	3	1	0	4	12
ftr51	1	33	35	1	31	2	22	34	1	1
ftr64	1	27	5	0	12	0	3	7	0	0
gbp4	0	3	10	0	9	0	2	6	0	2
hspa12a.2	1	6.968	4.362	0	8.077	0	3.606	4.25	0	0
hspa12a.3	0	7.032	1.638	0	3.923	0	2.394	7.75	0	0
iapp	1	5	5	0	5	0	0	5	0	0
ikbip	158.993	452.558	724.667	96.137	723.135	103.55	487.679	667.378	56	114.518
kdm5a	757	441	708	294	534	458	624	513	293	617
LOC100007471	29	18	7	13	13	14	17	19	11	27
LOC100329651	57	60	124	4	61	27	107	116	25	27
LOC100330167	9	95	65	0	90	2.029	48.098	71	3	6
LOC100330321	27	34	43	14	47	21	45	37	15	27
LOC100331532	1.091	34.435	35.242	0	33.499	0	40.446	29.864	2	0
LOC100332612	5.005	77.472	48.039	2.14	65.425	0	44.508	62.019	2	1
LOC100334356	0	0	0	0	0	0	0	1	0	1
LOC100536629	6	20.538	8.121	0	14.655	1	5.801	16.426	0	1.035
LOC100536648	1	4	6	0	1	0	3	1	0	0
LOC100538032	0	0	0	0	0	0	0	0	0	0
LOC101882617	0	0	5.488	0.961	6.483	0	0	0	0	2.025
LOC101883097	0	11	13	0	5	1	7	7	1	2
LOC101884295	14	55	48	7	33	9.066	27.036	42	2	12
LOC101886030	13	67	106	2	81	3	62	85	4	7
LOC101886464	151	126	109	62	106	74	70	114	61	76
LOC101886887	0.866	6.997	6.73	0	3.727	0	2.258	2.011	2	0
LOC101886924	0	51.431	34.187	0	25.243	0	27.466	17.224	0	3.534
LOC101886966	0	26.571	8.892	0	16.521	0	6.574	5.172	1	1.063
LOC103911004	2	2	2	0	1	0	1	1	1	0
LOC103911011	1.134	24.003	4.27	0	13.273	0	5.742	4.989	0	0
LOC103911012	2	36.257	12.317	2.264	19.133	1.234	23.768	18.505	0	0
LOC103911019	5.953	55.089	49.953	1.228	36.831	2.776	37.666	34.207	1.166	1.271
LOC108179093	0	1	1	0	1	0	1	2	0	0
LOC108183350	0	6.132	8.743	0	4.399	0	5.842	11.239	0	0
LOC108183521	1	48.045	9.896	0	30.93	0	10.85	7.533	0	0
LOC108183522	0	34.389	12.928	0	17.609	1.509	12.242	17.177	1.135	0
LOC108184065	303	1	0	105	0	367	4	1	34	123
LOC108184069	2.894	46.778	16.352	1.312	34.837	2.996	11.681	11.798	0	1.667
LOC108184070	2	2.001	5.538	0	3.994	0	1	0	0	0
LOC108184071	0	0	0	0	0	0	0	0	0	0
LOC110437744	153.999	830	1152	71.001	1096.999	78	914.001	789.001	60	88
LOC110437810	3	0	0	0	0	1	0	0	0	0
LOC110438218	2.546	20.306	26.169	0	25.947	1	19.153	27.866	1	0
LOC110438442	8.476	247.273	134.92	6.266	129.554	4.822	107.064	144.8	3.04	4.886
LOC110439376	2.199	69.128	43.687	3.097	42.702	0	45.601	34.109	1	1.394
LOC110439379	23	102	87	10	79	7	43	60.999	10	11
LOC110439382	6	24.473	61	1	60.521	3.027	40.072	29.531	2	4
LOC131384668	29298.035	8.507	4.563	14919.822	31.341	11793.246	56.1	31.759	12049.707	18090.992
LOC137487271	29	91	67	22	74	9	62.076	49	14	19
LOC137487275	42	71	78	37	59	17.081	64.054	73	25	50
LOC137487277	3.464	19.788	31.376	0	28.018	0	16.491	25.064	1	3.744
LOC137487286	24	6	8.222	25	11	29.407	8.019	8	12	43
LOC137488774	4	5.17	6.839	1	8.419	6.922	3.109	2.856	0	0
LOC137489911	0	11.196	15.442	0	20.455	0	20.588	18.497	2.156	2.197
LOC137491375	2.132	30.267	11.553	0	22.93	0	17.025	20.976	0	0
LOC137491376	2.458	33.109	17.817	1.352	26.061	2.547	22.504	30.173	0	1.701
LOC137491378	2.55	40.908	20.387	2.388	21.217	3.342	6.648	10.976	0	0
LOC137491382	4.233	68.548	28.829	0	39.8	4.048	24.218	37.523	0	0
LOC137491385	0	0	0	0	0	0	0	0	0	0
LOC137491492	0	4	5	2	0	0	9	10	0	1
LOC137491583	0	6.494	5.963	1	4.715	0	6.418	4.692	0	1
LOC137491586	0	13.351	5.571	2	10.6	1.281	13.662	22.491	1.21	0
LOC141375015	14	71	84	15	75	6	59	65	5	21
LOC141375046	47	47	33	13	38	19	35.46	38	3	14
