gene_id	SRR8176748_ZW	SRR8176749_ZZ	SRR8176750_ZZ	SRR8176751_ZW	SRR8176752_ZZ	SRR8176755_ZW	SRR8176757_ZZ	SRR8176758_ZZ	SRR8176759_ZW	SRR8176760_ZW
arfgap3	594	100	159	268	75	366	81	83	276	422
cct2	2153	1349	1331	871	1427	1036	1347	1132	996	1440
ckap4	13	175	81	3	75	5	67	82	6	6
fasn2	13	1	3	7	2	3	1	0	4	12
ftr51	1	33	35	1	31	2	22	34	1	1
gbp4	0	3	10	0	9	0	2	6	0	2
hspa12a.2	1	6.968	4.362	0	8.077	0	3.606	4.25	0	0
hspa12a.3	0	7.032	1.638	0	3.923	0	2.394	7.75	0	0
ikbip	158.993	452.558	724.667	96.137	723.135	103.55	487.679	667.378	56	114.518
kdm5a	757	441	708	294	534	458	624	513	293	617
LOC100007471	29	18	7	13	13	14	17	19	11	27
LOC100330167	9	95	65	0	90	2.029	48.098	71	3	6
LOC100330321	27	34	43	14	47	21	45	37	15	27
LOC100331532	1.091	34.435	35.242	0	33.499	0	40.446	29.864	2	0
LOC100332612	5.005	77.472	48.039	2.14	65.425	0	44.508	62.019	2	1
LOC100538032	0	0	0	0	0	0	0	0	0	0
LOC101883097	0	11	13	0	5	1	7	7	1	2
LOC101884295	14	55	48	7	33	9.066	27.036	42	2	12
LOC101886464	151	126	109	62	106	74	70	114	61	76
LOC103911004	2	2	2	0	1	0	1	1	1	0
LOC103911019	5.953	55.089	49.953	1.228	36.831	2.776	37.666	34.207	1.166	1.271
LOC108179093	0	1	1	0	1	0	1	2	0	0
LOC108184070	2	2.001	5.538	0	3.994	0	1	0	0	0
LOC108184071	0	0	0	0	0	0	0	0	0	0
LOC110437744	153.999	830	1152	71.001	1096.999	78	914.001	789.001	60	88
LOC110437810	3	0	0	0	0	1	0	0	0	0
LOC110438218	2.546	20.306	26.169	0	25.947	1	19.153	27.866	1	0
LOC110439382	6	24.473	61	1	60.521	3.027	40.072	29.531	2	4
LOC131384668	29298.035	8.507	4.563	14919.822	31.341	11793.246	56.1	31.759	12049.707	18090.992
LOC137487271	29	91	67	22	74	9	62.076	49	14	19
LOC137487275	42	71	78	37	59	17.081	64.054	73	25	50
LOC137487277	3.464	19.788	31.376	0	28.018	0	16.491	25.064	1	3.744
LOC137487286	24	6	8.222	25	11	29.407	8.019	8	12	43
LOC137488774	4	5.17	6.839	1	8.419	6.922	3.109	2.856	0	0
LOC137489911	0	11.196	15.442	0	20.455	0	20.588	18.497	2.156	2.197
LOC137491382	4.233	68.548	28.829	0	39.8	4.048	24.218	37.523	0	0
LOC137491385	0	0	0	0	0	0	0	0	0	0
LOC137491492	0	4	5	2	0	0	9	10	0	1
LOC137491586	0	13.351	5.571	2	10.6	1.281	13.662	22.491	1.21	0
LOC141375015	14	71	84	15	75	6	59	65	5	21
LOC141375046	47	47	33	13	38	19	35.46	38	3	14
LOC141381790	2.113	38.552	19.699	0	23.207	0	15.809	29.221	0	0
LOC141381803	12232.914	3.194	0	5988.423	13.698	5354.445	26.726	28.022	5139.775	7531.68
LOC141381850	0	5.27	7.534	0	1.843	0	6.722	5.83	0	0
LOC141381971	20.007	70.443	83.333	5.862	121.865	7.45	76.321	92.621	0	13.482
LOC141381972	0	10	13	0	11	0	7	5	0	0
LOC141381973	0	1	0	0	0	0	0	0	0	0
LOC141381978	0	0	0	0	1	0	1	2	0	0
LOC557537	2	15	33.779	0	23	0	11.019	17	1	1
LOC567883	46.458	1216.177	674.37	17.999	658.366	19.442	591.022	665.309	24.356	28.77
LOC571721	0	5	3	0	5	0	4.011	8	0	1
LOC799502	2	1.03	3.006	0	1.013	0	0	0	1	1
ms4a17a.1	0	3	1	0	2	0	5	5	1	0
ms4a17a.10	9	38	19	1	15	1	18	23	3	3
ms4a17a.11	7	77	41	1	38	2	39	40	2	3
ms4a17a.12	0	1	0	1	1	0	3	6	0	0
ms4a17a.14	1	3	10	0	2	0	9	3	1	0
ms4a17a.16	3	0	3	0	3	2	2	4	1	1
ms4a17a.17	2	15	55	2	18	0	14	13	1	0
ms4a17a.2	2	1	1	2	1	0	5	10	1	1
ms4a17a.3	0	1	1	0	0	0	2	5	0	0
ms4a17a.4	1	5	3	0	0	1	5	9	0	0
ms4a17a.5	1	3	1	0	0	0	10	10	1	1
ms4a17a.6	3	11	15	1	4	1	11	6	0	3
ms4a17a.7	1	2	0	0	0	0	0	3	0	0
ms4a17a.8	2	0	1	4	1	0	3	1	0	5
ms4a17a.9	5	37.001	18	6	21	3	23	21	4	12
nots	8	18	16	122	12	11	20	30	5	6
pacsin2	799	943	1063	380	1025	479	774	637	348	558
psmb10	51	172	93	35	76	44	67	86	33	34
ptchd3l	25	2	0	5	0	3	0	0	2	6
si:cabz01015814.1	7	68	75	13	101	80	138	57	3	17
si:cabz01015815.1	2.111	35.057	31.11	0	29.467	0	35.546	69.446	2	2.297
si:cabz01063885.1	6	88.915	73	10.161	86.948	13.401	48	74.952	8.65	8.017
si:ch73-56d11.5	0	5	1	2	1	0	9	14	1	2
si:dkey-172k15.13	10	24	36	2	28	4	28	29	2	7
si:dkey-172k15.19	19906.459	3	3	10941.129	17.364	9244.446	45.677	25.396	9449.372	12852.684
si:dkey-172k15.5	8	44	61	6	45	4	32	26	6	11
si:dkey-240n22.1	0	20.456	7.05	0	18.323	0	4.662	13.691	0	0
si:dkey-61p9.7	38.001	4	6	9	7	16	1	5	19	18
si:dkey-61p9.9	1	24.519	25.823	0	20.678	0	13.324	13.732	1	0
si:zfos-2131b9.2	4	8.495	5.366	0	6.719	1	8.168	8.268	0	2
terfa	642	295.999	470	270.001	345	355	298	335	292	401
ttll1	67	382	597	23	489	33	377	356	31	53
usp15	372	301	409	191	368	252	304	301	189.999	366.999
zgc:113119	11	68	53	8	56	7	51	57	6	11
zgc:153116	43	57	38	33	81	24	48	60	25	37
zgc:162948	413	81.085	80	207.839	63.052	264.599	55	57.048	166.35	282.983
zgc:173770	31071.432	8.299	10.437	15406.804	18.597	13138.088	71.618	28.823	12947.54	19466.131
zgc:174310	114	69	66	42	56	62	56	43	46	73
zgc:194215	32	8	12	23.418	12.197	18.184	10.041	15	18	30
zgc:194336	26	24.527	22	9	17.479	10	14	23.469	2	15
znf971	32	377	373.999	26.582	445.803	14	296.999	329.001	7	25
